iter	Passed	Remaining
0	65	65531
1	68	33934
2	70	23439
3	72	18171
4	75	15022
5	78	12929
6	80	11404
7	82	10278
8	85	9416
9	88	8712
10	90	8132
11	92	7649
12	95	7242
13	97	6886
14	100	6574
15	102	6309
16	104	6070
17	107	5861
18	109	5677
19	112	5508
20	114	5351
21	117	5214
22	119	5087
23	122	4970
24	124	4871
25	127	4770
26	129	4674
27	132	4587
28	135	4545
29	138	4469
30	140	4396
31	142	4325
32	145	4264
33	147	4203
34	150	4144
35	152	4088
36	155	4038
37	157	3988
38	162	4001
39	166	3985
40	171	4002
41	175	3992
42	179	3985
43	182	3969
44	186	3956
45	190	3950
46	194	3933
47	197	3921
48	201	3907
49	205	3912
50	209	3905
51	213	3898
52	219	3921
53	222	3897
54	225	3871
55	227	3838
56	230	3805
57	232	3775
58	235	3749
59	237	3719
60	240	3697
61	242	3673
62	245	3648
63	248	3627
64	250	3602
65	252	3578
66	255	3556
67	257	3534
68	260	3513
69	262	3491
70	265	3471
71	267	3452
72	270	3433
73	272	3414
74	275	3396
75	277	3379
76	280	3361
77	282	3343
78	285	3326
79	287	3308
80	290	3292
81	292	3276
82	295	3261
83	297	3245
84	300	3229
85	302	3214
86	304	3199
87	307	3186
88	310	3173
89	313	3165
90	316	3156
91	318	3142
92	321	3132
93	323	3119
94	326	3107
95	328	3097
96	331	3089
97	334	3080
98	337	3068
99	339	3056
100	342	3044
101	344	3033
102	347	3022
103	349	3012
104	351	3000
105	354	2988
106	356	2977
107	359	2967
108	361	2957
109	364	2945
110	366	2937
111	369	2928
112	371	2917
113	374	2908
114	379	2917
115	382	2914
116	385	2906
117	387	2896
118	389	2886
119	392	2877
120	394	2868
121	397	2859
122	399	2850
123	402	2842
124	404	2834
125	407	2825
126	409	2816
127	412	2807
128	414	2800
129	417	2796
130	420	2790
131	423	2782
132	425	2774
133	427	2765
134	430	2758
135	432	2750
136	435	2742
137	437	2734
138	440	2727
139	442	2719
140	445	2711
141	447	2704
142	449	2696
143	452	2688
144	454	2681
145	457	2674
146	459	2668
147	462	2661
148	464	2654
149	467	2647
150	469	2640
151	472	2633
152	474	2627
153	476	2620
154	479	2614
155	481	2606
156	484	2600
157	486	2594
158	489	2587
159	492	2584
160	495	2581
161	497	2575
162	500	2569
163	504	2569
164	506	2564
165	509	2558
166	511	2552
167	514	2546
168	516	2541
169	519	2535
170	521	2530
171	524	2524
172	526	2518
173	529	2513
174	531	2507
175	534	2502
176	536	2496
177	539	2491
178	541	2485
179	544	2480
180	546	2474
181	549	2469
182	552	2466
183	555	2463
184	558	2459
185	563	2464
186	565	2459
187	568	2455
188	570	2449
189	573	2446
190	576	2442
191	579	2437
192	581	2431
193	583	2426
194	586	2421
195	588	2415
196	591	2409
197	593	2404
198	596	2399
199	598	2394
200	601	2389
201	603	2385
202	606	2380
203	609	2376
204	611	2371
205	614	2366
206	616	2361
207	618	2356
208	621	2351
209	623	2346
210	626	2341
211	628	2336
212	631	2332
213	633	2327
214	636	2322
215	638	2318
216	641	2313
217	643	2308
218	646	2304
219	649	2302
220	651	2297
221	654	2292
222	667	2327
223	674	2336
224	680	2342
225	685	2348
226	691	2354
227	695	2354
228	698	2351
229	703	2353
230	705	2348
231	707	2343
232	710	2339
233	712	2333
234	715	2329
235	717	2323
236	720	2319
237	722	2314
238	725	2309
239	728	2305
240	731	2302
241	733	2298
242	737	2296
243	740	2292
244	743	2289
245	746	2286
246	748	2282
247	751	2277
248	753	2273
249	756	2268
250	758	2263
251	761	2259
252	763	2255
253	766	2250
254	768	2245
255	771	2241
256	773	2236
257	776	2232
258	778	2227
259	781	2223
260	783	2218
261	785	2213
262	788	2209
263	791	2205
264	793	2200
265	795	2195
266	798	2191
267	800	2187
268	803	2182
269	805	2178
270	808	2174
271	811	2170
272	813	2166
273	815	2161
274	818	2157
275	820	2153
276	823	2149
277	826	2145
278	828	2141
279	831	2137
280	833	2133
281	836	2128
282	838	2124
283	841	2120
284	843	2115
285	845	2111
286	848	2108
287	851	2103
288	853	2100
289	856	2095
290	858	2091
291	861	2087
292	863	2083
293	865	2079
294	868	2074
295	870	2071
296	873	2067
297	876	2064
298	878	2060
299	881	2056
300	883	2052
301	886	2049
302	889	2045
303	891	2041
304	894	2037
305	896	2032
306	898	2028
307	901	2025
308	903	2021
309	906	2016
310	908	2012
311	911	2008
312	913	2005
313	916	2003
314	919	1999
315	921	1995
316	924	1991
317	926	1987
318	929	1984
319	931	1980
320	934	1976
321	936	1972
322	939	1969
323	941	1965
324	944	1961
325	946	1957
326	949	1953
327	951	1949
328	954	1945
329	956	1941
330	958	1937
331	961	1934
332	963	1930
333	966	1926
334	968	1922
335	971	1919
336	973	1915
337	976	1912
338	978	1908
339	981	1904
340	983	1900
341	986	1897
342	988	1893
343	991	1889
344	993	1886
345	995	1882
346	999	1880
347	1002	1878
348	1005	1875
349	1007	1871
350	1010	1867
351	1012	1863
352	1015	1860
353	1017	1856
354	1019	1852
355	1022	1849
356	1024	1846
357	1027	1842
358	1029	1838
359	1032	1835
360	1034	1831
361	1037	1827
362	1039	1824
363	1042	1821
364	1044	1817
365	1047	1814
366	1049	1810
367	1052	1806
368	1054	1803
369	1056	1799
370	1059	1795
371	1061	1792
372	1064	1789
373	1066	1785
374	1069	1782
375	1072	1779
376	1074	1775
377	1076	1772
378	1079	1768
379	1081	1765
380	1084	1761
381	1087	1758
382	1089	1755
383	1092	1751
384	1094	1748
385	1097	1745
386	1099	1741
387	1102	1738
388	1104	1734
389	1106	1731
390	1109	1727
391	1111	1724
392	1114	1720
393	1116	1717
394	1118	1713
395	1121	1710
396	1123	1707
397	1127	1704
398	1129	1701
399	1132	1698
400	1134	1694
401	1137	1691
402	1139	1687
403	1141	1684
404	1143	1680
405	1146	1677
406	1149	1674
407	1151	1670
408	1154	1667
409	1156	1664
410	1159	1661
411	1161	1657
412	1163	1654
413	1166	1651
414	1169	1648
415	1171	1644
416	1174	1641
417	1176	1638
418	1179	1635
419	1181	1631
420	1184	1628
421	1186	1625
422	1189	1622
423	1191	1618
424	1194	1615
425	1196	1612
426	1199	1610
427	1203	1607
428	1206	1605
429	1209	1603
430	1213	1601
431	1216	1599
432	1219	1597
433	1222	1594
434	1225	1592
435	1228	1589
436	1231	1586
437	1234	1584
438	1237	1581
439	1240	1578
440	1243	1576
441	1246	1573
442	1249	1571
443	1252	1568
444	1255	1565
445	1258	1563
446	1261	1560
447	1264	1558
448	1267	1555
449	1270	1552
450	1273	1550
451	1276	1547
452	1279	1545
453	1282	1542
454	1285	1540
455	1288	1537
456	1291	1534
457	1294	1531
458	1297	1529
459	1300	1526
460	1303	1524
461	1306	1521
462	1309	1519
463	1312	1516
464	1315	1513
465	1317	1509
466	1320	1506
467	1322	1503
468	1325	1500
469	1326	1496
470	1329	1493
471	1331	1489
472	1334	1486
473	1336	1483
474	1339	1480
475	1341	1476
476	1343	1473
477	1346	1469
478	1348	1466
479	1350	1463
480	1353	1460
481	1355	1457
482	1357	1453
483	1359	1449
484	1362	1446
485	1364	1443
486	1366	1439
487	1369	1436
488	1371	1433
489	1374	1430
490	1376	1427
491	1379	1423
492	1381	1420
493	1383	1417
494	1385	1413
495	1388	1410
496	1390	1407
497	1393	1404
498	1396	1401
499	1398	1398
500	1400	1395
501	1403	1392
502	1405	1389
503	1408	1386
504	1410	1382
505	1412	1379
506	1415	1376
507	1417	1373
508	1420	1369
509	1422	1366
510	1428	1367
511	1431	1363
512	1433	1360
513	1436	1357
514	1438	1354
515	1441	1351
516	1443	1348
517	1445	1345
518	1448	1342
519	1450	1339
520	1453	1336
521	1455	1333
522	1458	1330
523	1460	1326
524	1463	1323
525	1465	1320
526	1467	1317
527	1470	1314
528	1472	1311
529	1475	1308
530	1477	1305
531	1480	1302
532	1482	1298
533	1484	1295
534	1487	1292
535	1489	1289
536	1492	1286
537	1494	1283
538	1496	1280
539	1499	1277
540	1501	1273
541	1503	1270
542	1506	1267
543	1508	1264
544	1510	1261
545	1512	1257
546	1515	1254
547	1517	1251
548	1519	1248
549	1522	1245
550	1524	1242
551	1526	1239
552	1529	1235
553	1531	1232
554	1533	1229
555	1536	1226
556	1538	1223
557	1540	1220
558	1543	1217
559	1545	1214
560	1548	1211
561	1550	1208
562	1553	1205
563	1555	1202
564	1557	1199
565	1560	1196
566	1562	1193
567	1564	1190
568	1567	1187
569	1569	1184
570	1572	1181
571	1574	1178
572	1577	1175
573	1579	1172
574	1582	1169
575	1584	1166
576	1586	1163
577	1589	1160
578	1591	1157
579	1594	1154
580	1596	1151
581	1598	1148
582	1601	1145
583	1603	1142
584	1607	1140
585	1609	1137
586	1612	1134
587	1614	1131
588	1617	1128
589	1619	1125
590	1621	1122
591	1624	1119
592	1626	1116
593	1629	1113
594	1631	1110
595	1633	1107
596	1636	1104
597	1638	1101
598	1641	1098
599	1643	1095
600	1646	1093
601	1648	1090
602	1651	1087
603	1653	1083
604	1655	1081
605	1658	1078
606	1660	1075
607	1663	1072
608	1665	1069
609	1667	1066
610	1670	1063
611	1672	1060
612	1674	1057
613	1677	1054
614	1679	1051
615	1682	1048
616	1684	1045
617	1687	1042
618	1689	1039
619	1691	1036
620	1694	1033
621	1696	1030
622	1698	1028
623	1701	1025
624	1703	1022
625	1705	1019
626	1708	1016
627	1710	1013
628	1712	1010
629	1715	1007
630	1717	1004
631	1719	1001
632	1722	998
633	1724	995
634	1726	992
635	1728	989
636	1730	986
637	1733	983
638	1735	980
639	1737	977
640	1740	974
641	1742	971
642	1745	968
643	1747	965
644	1749	962
